Scan Voltage (V) - Plot 0	Current - Plot 0
0.044	0.00415
0.044	0.00415
0.044	0.00415
0.168	0.0127
6.857	0.18681
0.403	0.00464
0.674	0.00464
0.938	0.00513
1.201	0.00537
1.473	0.00611
1.736	0.00562
2	0.00562
2.271	0.00537
2.527	0.00537
2.799	0.00586
3.062	0.00562
3.326	0.00586
3.59	0.00611
3.868	0.00562
4.125	0.00635
4.388	0.00708
4.659	0.00635
4.923	0.00684
5.187	0.00611
5.451	0.00684
5.714	0.00733
5.978	0.00757
6.249	0.00757
6.513	0.00806
6.777	0.00806
7.048	0.0083
7.311	0.00904
7.575	0.00904
7.846	0.00928
8.11	0.01001
8.374	0.00879
8.645	0.00855
8.908	0.00879
9.172	0.00904
9.443	0.00977
9.7	0.00952
9.971	0.00952
10.234	0.01001
10.498	0.0105
10.769	0.01172
11.04	0.01074
11.297	0.0105
11.568	0.01148
11.839	0.01148
12.095	0.01123
12.366	0.01172
12.637	0.01221
12.894	0.01221
13.165	0.01197
13.436	0.01294
13.692	0.01172
13.963	0.01245
14.234	0.01416
14.498	0.01758
14.762	0.02173
15.033	0.02564
15.297	0.02711
15.56	0.02589
15.832	0.02442
16.095	0.02222
16.359	0.02076
16.63	0.021
16.894	0.0232
17.158	0.02564
17.429	0.02711
17.692	0.02564
17.956	0.02711
18.227	0.02906
18.491	0.02711
18.755	0.02442
19.033	0.02198
19.289	0.02247
19.56	0.02247
19.832	0.02271
20.088	0.02466
20.359	0.0232
20.63	0.02442
20.894	0.02393
21.158	0.02418
21.429	0.02442
21.692	0.02515
21.956	0.0293
22.227	0.03883
22.491	0.04933
22.755	0.06618
23.033	0.06618
23.289	0.07179
23.553	0.07888
23.832	0.07424
24.088	0.06984
24.359	0.07375
24.63	0.07448
24.886	0.0779
25.158	0.08254
25.429	0.09109
25.692	0.09841
25.956	0.09939
26.227	0.10598
26.491	0.09621
26.755	0.09475
27.026	0.09231
27.289	0.09133
27.553	0.09011
27.824	0.09035
28.088	0.09451
28.359	0.09402
28.63	0.09304
28.886	0.09426
29.158	0.09109
29.429	0.08449
29.685	0.1072
29.934	0.13675
30	0.14945
30	0.13187
30	0.11477
30	0.11209
30	0.10452
30	0.10501
30	0.22198
30	0.10965
30	0.10574
30	0.1011
30	0.09866
30	0.10354
30	0.11111
30	0.11917
30	0.13065
30	0.1409
30	0.14896
30	0.15629
30	0.15702
30	0.14359
30	0.14969
30	0.15824
30	0.15824
30	0.14994
30	0.15263
30	0.14701
30	0.14994
30	0.14872
30	0.14457
30	0.1453
30	0.16947
30	0.17436
30	0.15507
30	0.16801
30	0.16508
30	0.16947
30	0.15116
